"STATION","NAME","DATE","DAPR","DAWM","MDPR","MDWM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-01",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-02",,,,,"1.31",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-03",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-04",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-05",,,,,"0.07",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-06",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-07",,,,,"0.04",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-08",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-09",,,,,"1.15",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-10",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-11",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-12",,,,,"0.04",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-13",,,,,"0.02",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-14",,,,,"0.19",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-15",,,,,"0.54",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-16",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-17",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-18",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-19",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-20",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-21",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-22",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-23",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-24",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-25",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-26",,,,,"1.07",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-27",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-28",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-29",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-30",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-08-31",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-01",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-02",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-03",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-04",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-05",,,,,"0.00",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-06",,,,,"0.13",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-07",,,,,"0.35",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-08",,,,,"0.03",,,,,,
"USC00142980","GARDEN CITY EXPERIMENTAL STATION, KS US","1948-09-09",,,,,"0.00",,,,,,
