"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-01",,,,"0.00","0.0","0.0",,"16","7",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-02",,,,"0.00","0.0","0.0",,"31","12",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-03",,,,"0.20","2.2","0.0",,"37","7",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-04",,,,"0.11","1.6","3.0",,"33","8",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-05",,,,"0.00","0.0","3.0",,"25","3",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-06",,,,"0.00","0.0","3.0",,"30","-1",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-07",,,,"0.00","0.0","2.0",,"40","27",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-08",,,,"0.00","0.0","0.0",,"44","24",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-09",,,,"0.00","0.0","0.0",,"41","21",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-10",,,,"0.00","0.0","0.0",,"42","12",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-11",,,,"0.00","0.0","0.0",,"50","30",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-12",,,,"0.00","0.0","0.0",,"49","23",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-13",,,,"0.00","0.0","0.0",,"63","24",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-14",,,,"0.00","0.0","0.0",,"62","28",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-15",,,,"0.00","0.0","0.0",,"64","22",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-16",,,,"0.00","0.0","0.0",,"57","29",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-17",,,,"0.00","0.0","0.0",,"51","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-01-18",,,,"0.00","0.0","0.0",,"55","26",,,,,,
