"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"1",10810096,"JA107583","01/07/2017 05:50:00 PM","004XX W HURON ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1831,18,42,8,"07",1173174,1904991,2017,"02/10/2018 03:50:01 PM",41.894723141,-87.639425761,"(41.894723141, -87.639425761)"
"2",10810539,"JA108792","01/08/2017 09:00:00 PM","032XX W OGDEN AVE","0930","MOTOR VEHICLE THEFT","THEFT/RECOVERY: AUTOMOBILE","STREET","false","false",1022,10,24,29,"07",1154877,1891254,2017,"02/10/2018 03:50:01 PM",41.857413801,-87.706993734,"(41.857413801, -87.706993734)"
"3",10811381,"JA110666","01/08/2017 07:00:00 PM","011XX S ASHLAND AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1231,12,2,28,"07",1165900,1895209,2017,"02/10/2018 03:50:01 PM",41.868038887,-87.666420169,"(41.868038887, -87.666420169)"
"4",10811599,"JA109921","01/09/2017 04:00:00 PM","061XX S ASHLAND AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","SIDEWALK","false","false",713,7,15,67,"07",1166722,1864053,2017,"02/10/2018 03:50:01 PM",41.782526007,-87.664293162,"(41.782526007, -87.664293162)"
"5",10811645,"JA110998","01/10/2017 07:30:00 AM","049XX N MARINE DR","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2024,20,48,3,"07",1169938,1933073,2017,"02/10/2018 03:50:01 PM",41.971852622,-87.650489142,"(41.971852622, -87.650489142)"
"6",10811674,"JA111011","01/10/2017 05:55:00 PM","037XX W 64TH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","RESIDENCE","false","false",823,8,13,65,"07",1152445,1861903,2017,"02/10/2018 03:50:01 PM",41.776918985,-87.716693776,"(41.776918985, -87.716693776)"
"7",10811680,"JA111054","01/08/2017 10:00:00 AM","004XX W 31ST ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",914,9,11,60,"07",1173679,1884379,2017,"02/10/2018 03:50:01 PM",41.838151152,-87.638184061,"(41.838151152, -87.638184061)"
"8",10811761,"JA110775","01/10/2017 03:00:00 PM","079XX S YATES BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","GAS STATION","false","false",414,4,7,46,"07",1193570,1852889,2017,"02/10/2018 03:50:01 PM",41.751275763,-87.566227001,"(41.751275763, -87.566227001)"
"9",10811799,"JA110987","01/10/2017 07:00:00 AM","089XX S PARNELL AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2223,22,21,71,"07",1174199,1845689,2017,"02/10/2018 03:50:01 PM",41.73197004,-87.637425014,"(41.73197004, -87.637425014)"
"10",10811984,"JA111428","01/11/2017 03:00:00 AM","052XX S MILLARD AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",822,8,23,62,"07",1152932,1869503,2017,"02/10/2018 03:50:01 PM",41.797764929,-87.714707961,"(41.797764929, -87.714707961)"
"11",10812000,"JA111434","01/11/2017 04:30:00 AM","003XX N CENTRAL AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1512,15,29,25,"07",1138970,1902173,2017,"02/10/2018 03:50:01 PM",41.887680583,-87.765117107,"(41.887680583, -87.765117107)"
